WATER_SYSTEM_NUMBER,SYSTEM_NAME,COUNTY,LATITUDE_MEASURE,LONGITUDE_MEASURE,FINAL_SAFER_STATUS,SERVICE_CONNECTIONS,POPULATION,OWNER_TYPE,FEDERAL_CLASSIFICATION_TYPE,CALENVIRO_SCREEN_SCORE,MHI,SERVICE_AREA_ECONOMIC_STATUS
CA1900529,CAMP WILLIAMS-RESORT WATER,LOS ANGELES,34.232256,-117.791229,Not At-Risk,69,80,PRIVATE,COMMUNITY,NA,75859,DAC
CA1900537,OAK GROVE MOBILE HOME PARK,LOS ANGELES,34.511219,-118.358617,At-Risk,31,109,PRIVATE,COMMUNITY,10.2362351443858,99472,Non-DAC
CA1900541,WESTERN SKIES MOBILE HOME PARK,LOS ANGELES,34.705345,-118.073303,At-Risk,61,198,PRIVATE,COMMUNITY,51.3495545967413,72271,DAC
CA1900542,"LOS ANGELES, CITY OF - POWER PLANT #2",LOS ANGELES,34.592318,-118.449098,At-Risk,17,44,LOCAL,COMMUNITY,10.1031210120744,56857,SDAC
CA1900555,"LOS ANGELES, CITY OF - POWER PLANT #1",LOS ANGELES,34.587245,-118.45232,At-Risk,19,29,LOCAL,COMMUNITY,17.9873512245504,68141,DAC
CA1900563,"SUNDALE MUTUAL WATER COMPANY A, B",LOS ANGELES,34.812808,-118.259675,Not At-Risk,322,1050,PRIVATE,COMMUNITY,24.9287946079649,71688,DAC
CA1900599,VALHALLA WATER ASSOCIATION,LOS ANGELES,34.288679,-118.230659,Potentially At-Risk,9,25,PRIVATE,COMMUNITY,NA,81375,Non-DAC
CA1900616,THE RIVER COMMUNITY,LOS ANGELES,34.23296,-117.798045,Potentially At-Risk,1,35,PRIVATE,COMMUNITY,NA,75859,DAC
CA1900636,EL RANCHO MOBILE HOME PARK,LOS ANGELES,34.685096,-118.093172,At-Risk,76,215,PRIVATE,COMMUNITY,26.5647880109563,72271,DAC
CA1900649,GOLDEN SANDS MOBILE HOME PARK,LOS ANGELES,34.706116,-118.093173,At-Risk,152,450,PRIVATE,COMMUNITY,32.1243109204136,72271,DAC
CA1900693,DESERT PALMS MOBILE HOME PARK,LOS ANGELES,33.766724,-116.975656,At-Risk,56,140,PRIVATE,COMMUNITY,32.1243109204136,72271,DAC
CA1900707,ILEAD AGUA DULCE CHARTER SCHOOL,LOS ANGELES,34.487706,-118.332528,Potentially At-Risk,1,450,LOCAL,NON-TRANSIENT NON-COMMUNITY,10.5745455230242,108853,Non-DAC
CA1900717,CASA DULCE ESTATES,LOS ANGELES,34.493407,-118.311381,Not At-Risk,17,24,PRIVATE,COMMUNITY,10.2362351443858,99472,Non-DAC
CA1900721,TERRA NOVA MOBILE HOME PARK,LOS ANGELES,34.70605,-118.101028,At-Risk,75,140,PRIVATE,COMMUNITY,28.215914489785,72271,DAC
CA1900750,DEL SUR SCHOOL/WESTSIDE UNION DISTRICT,LOS ANGELES,34.71941,-118.292499,Not At-Risk,2,825,LOCAL,NON-TRANSIENT NON-COMMUNITY,23.785509269958,72271,DAC
CA1900751,EASTSIDE UNION SCHOOL DISTRICT,LOS ANGELES,34.718249,-118.00695,At-Risk,36,650,LOCAL,NON-TRANSIENT NON-COMMUNITY,47.2022898421458,55833,SDAC
CA1900767,GOLDEN VALLEY MUNICIPAL WATER DISTRICT,LOS ANGELES,34.794339,-118.829748,Potentially At-Risk,22,70,PRIVATE,COMMUNITY,20.675692706185,15913,SDAC
CA1900785,MITCHELL'S AVENUE E MOBILE HOME PARK,LOS ANGELES,34.763347,-118.144817,Failing,24,24,PRIVATE,COMMUNITY,23.785509269958,28750,SDAC
CA1900794,ANTELOPE PARK MUTUAL WATER COMPANY,LOS ANGELES,34.671307,-118.162338,At-Risk,146,445,PRIVATE,COMMUNITY,31.7784558238878,72271,DAC
CA1900801,COLORADO MUTUAL WATER COMPANY,LOS ANGELES,34.681007,-117.97412,Not At-Risk,13,39,PRIVATE,COMMUNITY,47.2022898421458,72271,DAC
CA1900803,EL DORADO MUTUAL WATER CO.,LOS ANGELES,34.623802,-118.156634,Not At-Risk,240,660,PRIVATE,COMMUNITY,20.8632130754857,70910,DAC
CA1900804,EVERGREEN MUTUAL WATER COMPANY,LOS ANGELES,34.69904,-118.050235,At-Risk,47,98,PRIVATE,COMMUNITY,51.3495545967413,72271,DAC
CA1900808,LANCASTER WATER COMPANY,LOS ANGELES,34.694934,-118.164679,At-Risk,22,80,PRIVATE,COMMUNITY,35.7055165073181,72271,DAC
CA1900809,LANDALE MUTUAL WATER COMPANY,LOS ANGELES,34.653344,-118.120584,Not At-Risk,187,550,PRIVATE,COMMUNITY,32.3866297203521,72294,DAC
CA1900817,CLEAR SKIES MOBILE HOME PARK,LOS ANGELES,34.701431,-118.105424,At-Risk,47,131,PRIVATE,COMMUNITY,29.8362768857987,72271,DAC
CA1900843,CALIFORNIAN MOBILE HOME PARK,LOS ANGELES,34.702415,-118.084745,At-Risk,133,372,PRIVATE,COMMUNITY,32.1243109204136,72271,DAC
CA1900849,LLANO DEL RIO WATER COMPANY,LOS ANGELES,34.469628,-117.849705,Not At-Risk,191,545,PRIVATE,COMMUNITY,25.6969394325245,71611,DAC
CA1900868,RIVERS END TRAILER PARK,LOS ANGELES,34.433686,-118.363763,At-Risk,45,35,PRIVATE,COMMUNITY,12.3261693068902,50625,SDAC
CA1900886,HUGHES-ELIZABETH LAKE UNIFIED SCHOOL DIS,LOS ANGELES,34.672663,-118.424973,Not At-Risk,2,550,LOCAL,NON-TRANSIENT NON-COMMUNITY,17.9873512245504,87500,Non-DAC
CA1900901,FIRE SUPPRESSION CAMP #19,LOS ANGELES,34.237832,-117.822949,Not At-Risk,1,125,LOCAL,COMMUNITY,NA,75859,DAC
CA1900903,SLEEPY VALLEY WATER COMPANY,LOS ANGELES,34.50947,-118.366272,At-Risk,57,160,PRIVATE,COMMUNITY,10.2362351443858,99433,Non-DAC
CA1900907,SHERWOOD MOBILE HOME PARK,LOS ANGELES,34.706659,-118.061639,Not At-Risk,185,540,PRIVATE,COMMUNITY,51.3495545967413,72271,DAC
CA1900913,LILY OF THE VALLEY MOBILE VILLAGE,LOS ANGELES,34.465233,-118.481954,Not At-Risk,182,657,PRIVATE,COMMUNITY,10.1454906895502,78889,Non-DAC
CA1900936,AQUA J. MUTUAL WATER COMPANY,LOS ANGELES,34.693887,-117.96531,Not At-Risk,49,158,PRIVATE,COMMUNITY,47.2022898421458,48333,SDAC
CA1900942,ALPINE SPRINGS MOBILE HOME PARK,LOS ANGELES,34.539286,-118.106924,Failing,53,175,PRIVATE,COMMUNITY,30.1217873037251,112202,Non-DAC
CA1900961,WINTERHAVEN MOBILE ESTATES,LOS ANGELES,34.773909,-118.457227,Failing,20,56,PRIVATE,COMMUNITY,20.3334980687589,56257,SDAC
CA1900975,CALI LAKE RV RESORT,LOS ANGELES,34.437263,-118.320596,Failing,47,99,PRIVATE,COMMUNITY,14.2512394909904,95982,Non-DAC
CA1907014,NORTH TRAILS MUTUAL WATER COMPANY,LOS ANGELES,34.49924,-118.33855,Failing,49,100,PRIVATE,COMMUNITY,10.2362351443858,99472,Non-DAC
CA1907028,SPV WATER COMPANY,LOS ANGELES,34.514755,-118.304574,At-Risk,73,211,PRIVATE,COMMUNITY,10.2362351443858,99472,Non-DAC
CA1909006,WEST VALLEY COUNTY WATER DISTRICT,LOS ANGELES,34.789311,-118.581053,At-Risk,270,798,LOCAL,COMMUNITY,20.3334980687589,60833,DAC
CA1910001,CITY OF ALHAMBRA,LOS ANGELES,34.083832,-118.135772,At-Risk,18106,79776,LOCAL,COMMUNITY,34.1679490898009,79355,Non-DAC
CA1910002,AMARILLO MUTUAL WATER COMPANY,LOS ANGELES,34.06619,-118.080098,At-Risk,625,3134,LOCAL,COMMUNITY,48.4285797371863,66926,DAC
CA1910003,CITY OF ARCADIA,LOS ANGELES,34.135272,-118.037587,Not At-Risk,15564,51361,LOCAL,COMMUNITY,17.880792104602,111016,Non-DAC
CA1910004,GSWC - ARTESIA,LOS ANGELES,33.835139,-118.078276,Not At-Risk,10788,50375,PRIVATE,COMMUNITY,36.0302545939043,84087,Non-DAC
CA1910005,"LOS ANGELES CWWD 40, REG. 38-LAKE LA",LOS ANGELES,34.615865,-117.833482,Not At-Risk,3665,12620,LOCAL,COMMUNITY,24.4445042728072,57162,SDAC
CA1910006,SO. CAL. EDISON CO.-SANTA CATALINA,LOS ANGELES,33.382633,-118.434511,Potentially At-Risk,1999,3822,PRIVATE,COMMUNITY,17.6299905520024,81345,Non-DAC
CA1910007,AZUSA LIGHT AND WATER,LOS ANGELES,34.123522,-117.913759,Not Assessed,23309,110044,LOCAL,COMMUNITY,35.5138597362414,82295,Non-DAC
CA1910009,VALLEY COUNTY WATER DIST.,LOS ANGELES,34.098728,-117.958347,At-Risk,12441,68871,LOCAL,COMMUNITY,47.8720472284579,80049,Non-DAC
CA1910010,CALIFORNIA WATER SERVICE CO.-LANCASTER,LOS ANGELES,34.657145,-118.167417,Not At-Risk,675,1387,PRIVATE,COMMUNITY,20.5010661495869,73326,DAC
CA1910011,"GSWC - BELL, BELL GARDENS",LOS ANGELES,33.96406,-118.162095,Not At-Risk,7467,54877,PRIVATE,COMMUNITY,62.3171533876869,53672,SDAC
CA1910012,BELLFLOWER HOME GARDEN WATER COMPANY,LOS ANGELES,33.871832,-118.146889,Not At-Risk,342,1129,PRIVATE,COMMUNITY,51.7723239277512,73612,DAC
CA1910013,BELLFLOWER - SOMERSET MWC,LOS ANGELES,33.882083,-118.124521,Not At-Risk,7103,46300,PRIVATE,COMMUNITY,41.5896921140526,73594,DAC
CA1910018,BELLFLOWER MUNICIPAL WATER SYSTEM,LOS ANGELES,33.88339,-118.145002,Not At-Risk,1817,5999,LOCAL,COMMUNITY,39.0526954900681,73491,DAC
CA1910019,"CERRITOS - CITY, WATER DEPT.",LOS ANGELES,33.870706,-118.048663,Not At-Risk,15664,47475,LOCAL,COMMUNITY,26.952943469836,117329,Non-DAC
CA1910020,CAL-AM WATER COMPANY - EAST PASADENA,LOS ANGELES,34.118081,-118.058834,Failing,3019,9949,PRIVATE,COMMUNITY,21.2907446051369,78569,Non-DAC
CA1910021,LIBERTY UTILITIES - COMPTON,LOS ANGELES,33.900477,-118.256571,Not At-Risk,6926,26371,PRIVATE,COMMUNITY,60.3558673003303,68960,DAC
CA1910022,CALIF STATE POLYTECHNICAL UNIV - POMONA,LOS ANGELES,34.056692,-117.821305,At-Risk,148,29854,STATE GOVERNMENT,COMMUNITY,22.2202520358951,82474,Non-DAC
CA1910023,AVERYDALE MWC,LOS ANGELES,34.711071,-118.073125,At-Risk,306,1003,PRIVATE,COMMUNITY,46.9335988801057,72271,DAC
CA1910024,GSWC - CLAREMONT,LOS ANGELES,34.114331,-117.717362,Not At-Risk,11295,39730,PRIVATE,COMMUNITY,22.4888657429973,113699,Non-DAC
CA1910025,"LOS ANGELES CWWD 40, REG. 39-ROCK CREEK",LOS ANGELES,34.482861,-117.885553,Not At-Risk,368,870,LOCAL,COMMUNITY,25.6969394325245,71611,DAC
CA1910026,"COMPTON-CITY, WATER DEPT.",LOS ANGELES,33.896001,-118.224712,Not At-Risk,14562,74877,LOCAL,COMMUNITY,63.9381620711244,69803,DAC
CA1910027,"LOS ANGELES CWWD 40, REG. 35-N.E. L.A.",LOS ANGELES,34.701956,-117.762862,Not At-Risk,243,619,LOCAL,COMMUNITY,39.1737299929338,57162,SDAC
CA1910028,CRESCENTA VALLEY CWD,LOS ANGELES,34.227434,-118.238651,Potentially At-Risk,8267,35841,LOCAL,COMMUNITY,16.4500619170599,109698,Non-DAC
CA1910029,CITY OF INDUSTRY WATERWORKS SYSTEMS,LOS ANGELES,34.036328,-117.990819,Not At-Risk,1860,6158,LOCAL,COMMUNITY,47.7556705714833,75115,DAC
CA1910030,GSWC - CULVER CITY,LOS ANGELES,34.005967,-118.394446,Not At-Risk,9365,38213,PRIVATE,COMMUNITY,28.0797882475893,115015,Non-DAC
CA1910032,FOOTHILL MUNICIPAL WATER DIST.,LOS ANGELES,34.200422,-118.171948,Not Assessed,7,0,LOCAL,COMMUNITY,14.6898480467604,145259,Non-DAC
CA1910033,CALIFORNIA WATER SERVICE CO. - DOMINGUEZ,LOS ANGELES,33.838931,-118.271242,Not Assessed,33150,143996,PRIVATE,COMMUNITY,45.1373811853438,88703,Non-DAC
CA1910034,"DOWNEY - CITY, WATER DEPT.",LOS ANGELES,33.937852,-118.131161,Not Assessed,23459,108816,LOCAL,COMMUNITY,38.6279842335711,81694,Non-DAC
CA1910035,KINNELOA IRRIGATION DIST.,LOS ANGELES,34.177835,-118.083323,Potentially At-Risk,594,1960,LOCAL,COMMUNITY,10.9324094257149,99419,Non-DAC
CA1910036,CALIFORNIA WATER SERVICE CO. - ELA,LOS ANGELES,34.032678,-118.16919,Not Assessed,26215,152474,PRIVATE,COMMUNITY,57.7931924168866,65900,DAC
CA1910038,"EL MONTE-CITY, WATER DEPT.",LOS ANGELES,34.073203,-118.039224,At-Risk,3545,22968,LOCAL,COMMUNITY,64.0960259666816,60968,DAC
CA1910039,SAN GABRIEL VALLEY WATER CO.-EL MONTE,LOS ANGELES,34.039683,-118.024927,Not Assessed,46952,248000,PRIVATE,COMMUNITY,47.2863732050061,77558,Non-DAC
CA1910040,"EL SEGUNDO-CITY, WATER DEPT.",LOS ANGELES,33.916959,-118.402127,At-Risk,6364,16445,LOCAL,COMMUNITY,18.2958854611987,133659,Non-DAC
CA1910041,THREE VALLEYS MWD,LOS ANGELES,34.058236,-117.815604,Not Assessed,15,0,LOCAL,COMMUNITY,25.5753125636591,91079,Non-DAC
CA1910042,"PICO RIVERA - CITY, WATER DEPT.",LOS ANGELES,34.014941,-118.068566,Not At-Risk,9474,40600,LOCAL,COMMUNITY,47.6022598470403,79442,Non-DAC
CA1910043,"GLENDALE-CITY, WATER DEPT.",LOS ANGELES,34.180242,-118.24664,Not Assessed,36074,188784,LOCAL,COMMUNITY,29.8844733258597,81528,Non-DAC
CA1910044,"GLENDORA-CITY, WATER DEPT.",LOS ANGELES,34.134628,-117.850231,Not At-Risk,14053,49934,LOCAL,COMMUNITY,20.4327428375118,104127,Non-DAC
CA1910045,ANTELOPE VALLEY EAST KERN WATER AGENCY,LOS ANGELES,34.877207,-118.080951,Not Assessed,49,0,LOCAL,COMMUNITY,31.303853288581,63408,DAC
CA1910046,SUBURBAN WATER SYSTEMS-GLENDORA,LOS ANGELES,34.120656,-117.876775,Not At-Risk,1550,5249,PRIVATE,COMMUNITY,25.8146826610825,91428,Non-DAC
CA1910047,HAWTHORNE-CITY WATER DEPT.,LOS ANGELES,33.916688,-118.350432,Not At-Risk,6202,44718,LOCAL,COMMUNITY,46.5184682327284,69034,DAC
CA1910049,"HUNTINGTON PARK-CITY, WATER DEPT.",LOS ANGELES,33.979119,-118.217732,Not At-Risk,5555,15437,LOCAL,COMMUNITY,55.7450707492445,53659,SDAC
CA1910050,"COMMERCE-CITY, WATER DEPT.",LOS ANGELES,33.991357,-118.139107,Not At-Risk,978,4205,LOCAL,COMMUNITY,69.8124888567199,62630,DAC
CA1910051,"INGLEWOOD- CITY, WATER DEPT.",LOS ANGELES,33.960867,-118.345436,Not At-Risk,15847,80824,LOCAL,COMMUNITY,43.2614320816177,68888,DAC
CA1910052,CAL/AM WATER COMPANY - BALDWIN HILLS,LOS ANGELES,33.991553,-118.37144,Not At-Risk,6280,20724,PRIVATE,COMMUNITY,28.3429224093119,120795,Non-DAC
CA1910053,HEMLOCK MUTUAL WATER CO.,LOS ANGELES,34.095275,-118.005294,Potentially At-Risk,208,686,PRIVATE,COMMUNITY,52.0269093375056,60967,DAC
CA1910054,LA CANADA IRRIGATION DIST.,LOS ANGELES,34.217804,-118.212101,Not At-Risk,2949,9300,LOCAL,COMMUNITY,8.66993531725897,192328,Non-DAC
CA1910056,LAKE ELIZABETH MUTUAL WATER CO.,LOS ANGELES,34.648588,-118.350382,Not At-Risk,734,1790,PRIVATE,COMMUNITY,11.1163467773251,104162,Non-DAC
CA1910059,SUBURBAN WATER SYSTEMS-LA MIRADA,LOS ANGELES,33.898562,-118.009265,Not At-Risk,15320,56793,PRIVATE,COMMUNITY,28.0004728953039,98793,Non-DAC
CA1910060,LA PUENTE VALLEY CWD,LOS ANGELES,34.021533,-117.949798,Not At-Risk,2498,8243,LOCAL,COMMUNITY,49.4519721689405,70619,DAC
CA1910061,LAS FLORES WATER CO.,LOS ANGELES,34.199383,-118.132727,Not At-Risk,1479,4847,PRIVATE,COMMUNITY,13.6757812485594,121616,Non-DAC
CA1910062,"LA VERNE, CITY WD",LOS ANGELES,34.127771,-117.762021,Not At-Risk,8819,31334,LOCAL,COMMUNITY,20.9921824251491,97727,Non-DAC
CA1910063,LINCOLN AVENUE WATER CO.,LOS ANGELES,34.201416,-118.151774,At-Risk,4493,16126,PRIVATE,COMMUNITY,21.5039701921119,121509,Non-DAC
CA1910064,LITTLEROCK CREEK IRRIGATION DIST.,LOS ANGELES,34.532507,-117.988245,Not At-Risk,1369,3040,LOCAL,COMMUNITY,31.6911563605333,69795,DAC
CA1910065,LONG BEACH UTILITIES DEPARTMENT,LOS ANGELES,33.775537,-118.160457,Not Assessed,89368,466772,LOCAL,COMMUNITY,34.9243310185369,82354,Non-DAC
CA1910066,LEISURE LAKE MOBILE ESTATES,LOS ANGELES,34.760205,-118.168474,At-Risk,211,325,PRIVATE,COMMUNITY,23.785509269958,28750,SDAC
CA1910067,"LOS ANGELES-CITY, DEPT. OF WATER & POWER",LOS ANGELES,34.058383,-118.250257,Not Assessed,709623,3875566,LOCAL,COMMUNITY,33.5052253277135,80037,Non-DAC
CA1910070,LOS ANGELES CWWD 40 REG 4 & 34 LANCASTER,LOS ANGELES,34.569549,-118.238153,Not Assessed,52476,204673,LOCAL,COMMUNITY,26.679813094669,75832,DAC
CA1910072,GSWC - WILLOWBROOK,LOS ANGELES,33.919682,-118.235379,Not At-Risk,1462,10747,PRIVATE,COMMUNITY,59.3281515507574,54836,SDAC
CA1910073,"LOMITA-CITY, WATER DEPT.",LOS ANGELES,33.794993,-118.318198,Not At-Risk,4456,20256,LOCAL,COMMUNITY,25.5711702594225,78918,Non-DAC
CA1910075,LOS ANGELES CWWD 21-KAGEL CANYON,LOS ANGELES,34.289775,-118.376305,Not At-Risk,263,579,LOCAL,COMMUNITY,29.7853722574606,70021,DAC
CA1910077,GSWC - FLORENCE/GRAHAM,LOS ANGELES,33.969346,-118.24401,At-Risk,9793,63500,PRIVATE,COMMUNITY,64.4809444365973,58090,DAC
CA1910079,"LYNWOOD-CITY, WATER DEPT.",LOS ANGELES,33.925132,-118.202233,Not At-Risk,9322,66967,LOCAL,COMMUNITY,58.3014804883222,65425,DAC
CA1910081,LYNWOOD PARK MUTUAL WATER CO.,LOS ANGELES,33.914759,-118.224931,At-Risk,470,2300,LOCAL,COMMUNITY,59.1170969215714,52887,SDAC
CA1910083,"MANHATTAN BEACH-CITY, WATER DEPT.",LOS ANGELES,33.889407,-118.39711,Not At-Risk,13437,33673,LOCAL,COMMUNITY,7.79671322980739,184718,Non-DAC
CA1910084,MAYWOOD MUTUAL WATER CO. #1,LOS ANGELES,33.985142,-118.193246,Potentially At-Risk,1167,5500,PRIVATE,COMMUNITY,52.7018532411426,54619,SDAC
CA1910085,MAYWOOD MUTUAL WATER CO. #2,LOS ANGELES,33.988002,-118.187232,Not At-Risk,1924,6349,PRIVATE,COMMUNITY,56.706012811304,56281,SDAC
CA1910086,MAYWOOD MUTUAL WATER CO. #3,LOS ANGELES,33.988002,-118.18725,Not At-Risk,2035,9500,PRIVATE,COMMUNITY,56.6965116233582,56283,SDAC
CA1910087,METROPOLITAN WATER DIST. OF SO. CAL.,LOS ANGELES,34.055141,-118.236487,Not Assessed,309,0,LOCAL,COMMUNITY,44.587424687029,77291,Non-DAC
CA1910090,"MONROVIA-CITY, WATER DEPT.",LOS ANGELES,34.159483,-118.001878,Potentially At-Risk,9597,37931,LOCAL,COMMUNITY,17.0207785009113,90730,Non-DAC
CA1910091,MONTEBELLO LAND & WATER CO.,LOS ANGELES,34.013971,-118.109369,Not At-Risk,3956,26554,PRIVATE,COMMUNITY,51.8162245948487,71853,DAC
CA1910092,"MONTEREY PARK-CITY, WATER DEPT.",LOS ANGELES,34.050141000000004,-118.132173,At-Risk,13321,62183,LOCAL,COMMUNITY,28.8358924815577,70208,DAC
CA1910098,GSWC - NORWALK,LOS ANGELES,33.921338,-118.086374,Not At-Risk,9408,43176,PRIVATE,COMMUNITY,48.1169844903502,85481,Non-DAC
CA1910099,PARADISE RANCH MHP,LOS ANGELES,34.574874,-118.69102,At-Risk,95,360,PRIVATE,COMMUNITY,17.9873512245504,82668,Non-DAC
CA1910101,ORCHARD DALE WATER DISTRICT,LOS ANGELES,33.93342,-118.024685,Not At-Risk,4346,25000,LOCAL,COMMUNITY,33.5068704984119,93257,Non-DAC
CA1910102,PALMDALE WATER DIST.,LOS ANGELES,34.554938,-118.075162,Not Assessed,27652,126804,LOCAL,COMMUNITY,32.7101997907159,76540,DAC
CA1910103,PALM RANCH IRRIGATION DIST.,LOS ANGELES,34.642947,-118.218473,Not At-Risk,1713,5507,LOCAL,COMMUNITY,15.5470244008218,95071,Non-DAC
CA1910104,CALIFORNIA WATER SERVICE CO. - PALOS VER,LOS ANGELES,33.76552,-118.366177,Not At-Risk,24493,71452,PRIVATE,COMMUNITY,7.70381955703286,187229,Non-DAC
CA1910105,"PARAMOUNT - CITY, WATER DEPT.",LOS ANGELES,33.896104,-118.166157,Potentially At-Risk,7564,55200,LOCAL,COMMUNITY,55.257810967927,67494,DAC
CA1910108,CITY OF BELL GARDENS,LOS ANGELES,33.969607,-118.143143,Potentially At-Risk,1642,11437,LOCAL,COMMUNITY,55.1194921408669,51615,SDAC
CA1910117,SAN GABRIEL VALLEY WATER CO-MONTEBELLO 2,LOS ANGELES,33.990368,-118.131955,Not At-Risk,1524,7330,LOCAL,COMMUNITY,55.5910022558048,69324,DAC
CA1910124,PASADENA WATER AND POWER,LOS ANGELES,34.158148,-118.13369,Not Assessed,38522,164344,LOCAL,COMMUNITY,20.5715418560438,102043,Non-DAC
CA1910125,PICO WD,LOS ANGELES,34.002025,-118.075113,Not At-Risk,5361,22051,LOCAL,COMMUNITY,47.596368692912,71437,DAC
CA1910126,"POMONA - CITY, WATER DEPT.",LOS ANGELES,34.058229,-117.75992,Not Assessed,30172,151713,LOCAL,COMMUNITY,48.0339562620833,75805,DAC
CA1910127,"COVINA-CITY, WATER DEPT.",LOS ANGELES,34.084785,-117.879552,Not At-Risk,8617,33300,LOCAL,COMMUNITY,31.2725748981983,82989,Non-DAC
CA1910128,COVINA IRRIGATING CO.,LOS ANGELES,34.089753,-117.945353,Not Assessed,12,0,PRIVATE,COMMUNITY,41.2038175533026,71050,DAC
CA1910130,QUARTZ HILL WATER DIST.,LOS ANGELES,34.638322,-118.187684,Not At-Risk,5850,19100,LOCAL,COMMUNITY,18.0872700653403,79214,Non-DAC
CA1910134,CALIFORNIA WATER SERVICE CO. - HERM/REDO,LOS ANGELES,33.857551,-118.396644,Not At-Risk,26845,96853,PRIVATE,COMMUNITY,12.258283250329,132710,Non-DAC
CA1910139,CAL/AM WATER COMPANY - SAN MARINO,LOS ANGELES,34.11906,-118.110571,Not At-Risk,14544,47995,PRIVATE,COMMUNITY,25.0263946809293,122367,Non-DAC
CA1910140,RUBIO CANON LAND & WATER ASSOCIATION,LOS ANGELES,34.189196,-118.127491,At-Risk,3136,9600,PRIVATE,COMMUNITY,17.1060319800096,121623,Non-DAC
CA1910142,GSWC-SAN DIMAS,LOS ANGELES,34.097809,-117.823867,Not At-Risk,16163,56538,PRIVATE,COMMUNITY,22.1263221946415,97828,Non-DAC
CA1910143,"SAN FERNANDO-CITY, WATER DEPT.",LOS ANGELES,34.288636,-118.43629,Potentially At-Risk,5380,23946,LOCAL,COMMUNITY,44.1820712730529,72369,DAC
CA1910144,SAN GABRIEL COUNTY WD,LOS ANGELES,34.09222,-118.094184,Not At-Risk,9693,39345,LOCAL,COMMUNITY,35.3784253642561,77606,Non-DAC
CA1910146,"SANTA MONICA-CITY, WATER DIVISION",LOS ANGELES,34.023426,-118.481562,Potentially At-Risk,16884,89947,LOCAL,COMMUNITY,26.3684090953163,102145,Non-DAC
CA1910147,SUBURBAN WATER SYSTEMS - SATIVA,LOS ANGELES,33.910227,-118.231594,Potentially At-Risk,1322,4363,LOCAL,COMMUNITY,57.1147739696413,54276,SDAC
CA1910148,"SIERRA MADRE-CITY, WATER DEPT.",LOS ANGELES,34.168715,-118.050293,Not At-Risk,3656,11000,LOCAL,COMMUNITY,9.68235364753484,133529,Non-DAC
CA1910149,"SIGNAL HILL - CITY, WATER DEPT.",LOS ANGELES,33.802868,-118.168065,Failing,3035,11848,LOCAL,COMMUNITY,37.667859237535,84678,Non-DAC
CA1910152,"SOUTH GATE-CITY, WATER DEPT.",LOS ANGELES,33.948442,-118.197953,Potentially At-Risk,14442,76443,LOCAL,COMMUNITY,57.6669002029648,69303,DAC
CA1910153,SOUTH MONTEBELLO IRRIGATION DIST.,LOS ANGELES,33.995963,-118.118253,At-Risk,2351,15021,LOCAL,COMMUNITY,50.9379946465801,71852,DAC
CA1910154,CITY OF SOUTH PASADENA,LOS ANGELES,34.110229,-118.157171,Not At-Risk,6131,25329,LOCAL,COMMUNITY,12.4252552885021,120629,Non-DAC
CA1910155,GSWC - SOUTHWEST,LOS ANGELES,33.905581,-118.313003,Not Assessed,52644,277740,PRIVATE,COMMUNITY,50.742465081219,75756,DAC
CA1910156,"BEVERLY HILLS-CITY, WATER DEPT.",LOS ANGELES,34.079026,-118.400311,Not At-Risk,10258,40121,LOCAL,COMMUNITY,18.1944102471976,117306,Non-DAC
CA1910157,SUNNY SLOPE WATER CO.,LOS ANGELES,34.113051,-118.07562,Potentially At-Risk,6314,25252,PRIVATE,COMMUNITY,22.0417608138596,96039,Non-DAC
CA1910158,STERLING MUTUAL WATER COMPANY,LOS ANGELES,34.078928,-118.012803,At-Risk,199,198,PRIVATE,COMMUNITY,50.0626415412005,60967,DAC
CA1910159,TRACT 180 MUTUAL WATER CO.,LOS ANGELES,33.963308,-118.179542,Potentially At-Risk,1190,14000,PRIVATE,COMMUNITY,65.8249261080673,49153,SDAC
CA1910160,TRACT 349 MUTUAL WATER CO.,LOS ANGELES,33.965368,-118.191832,Failing,949,8700,PRIVATE,COMMUNITY,57.8318486540104,48752,SDAC
CA1910161,LIBERTY UTILITIES - LYNWOOD,LOS ANGELES,33.900094,-118.19401,At-Risk,4414,24701,PRIVATE,COMMUNITY,56.6766087652002,63702,DAC
CA1910163,VALENCIA HEIGHTS WATER CO.,LOS ANGELES,34.06,-117.868005,Not At-Risk,1682,7775,PRIVATE,COMMUNITY,28.7111833898159,96435,Non-DAC
CA1910165,VALLEY VIEW MUTUAL WATER CO.,LOS ANGELES,34.088491,-117.977688,Not At-Risk,1398,4613,PRIVATE,COMMUNITY,39.7989350432662,76422,DAC
CA1910166,VALLEY WATER CO.,LOS ANGELES,34.195339,-118.195835,Potentially At-Risk,3611,10070,PRIVATE,COMMUNITY,8.80997030264224,200980,Non-DAC
CA1910167,"VERNON-CITY, WATER DEPT.",LOS ANGELES,34.003101,-118.213668,Not At-Risk,1215,28112,LOCAL,COMMUNITY,55.3219872363194,63344,DAC
CA1910169,WALNUT PARK MUTUAL WATER CO.,LOS ANGELES,33.969054,-118.219878,Not At-Risk,2832,16180,PRIVATE,COMMUNITY,46.4417096355424,73729,DAC
CA1910173,"WHITTIER-CITY, WATER DEPT.",LOS ANGELES,33.982515,-118.038069,Not At-Risk,12037,49954,LOCAL,COMMUNITY,33.2326971571374,87497,Non-DAC
